TISMEDT_000189	brain_periaquaductal grey	UBERON:0003040	central gray substance of midbrain
TISMEDT_000190	brain_perirhinal gyrus	UBERON:0006083	perirhinal cortex
TISMEDT_000191	brain_peritrigeminal nucleus	UBERON:0002879	peritrigeminal nucleus
TISMEDT_000192	brain_piriform cortex	UBERON:0004725	piriform cortex
TISMEDT_000193	brain_pons	UBERON:0000988	pons
TISMEDT_000194	brain_pontine nuclei	UBERON:0002151	pontine nuclear group
TISMEDT_000195	brain_pontine tegmentum	UBERON:0003023	pontine tegmentum
TISMEDT_000196	brain_posterior insular cortex		
TISMEDT_000197	brain_posterior thalamic nucleus	UBERON:0002981	pulvinar nucleus
TISMEDT_000198	brain_posteroventral cochlear nucleus	UBERON:0002831	posteroventral cochlear nucleus
TISMEDT_000199	brain_prefrontal cortex	UBERON:0000451	prefrontal cortex
TISMEDT_000200	brain_preoptic area	UBERON:0001928	preoptic area
TISMEDT_000201	brain_prepositus hypoglossal nucleus	UBERON:0002871	hypoglossal nucleus
TISMEDT_000202	brain_pretectal region	UBERON:0001944	pretectal region
TISMEDT_000203	brain_pulvinar	UBERON:0002981	pulvinar nucleus
TISMEDT_000204	brain_putamen	UBERON:0001874	putamen
TISMEDT_000205	brain_red nucleus	UBERON:0001947	red nucleus
TISMEDT_000206	brain_reticulotegmental nucleus	UBERON:0002147	reticulotegmental nucleus
TISMEDT_000207	brain_seminal vesicles	UBERON:0000998	seminal vesicle
TISMEDT_000208	brain_sensory cortex	UBERON:0008930	somatosensory cortex
TISMEDT_000209	brain_septal nuclei	UBERON:0002663	septal nuclear complex
TISMEDT_000210	brain_solitary nucleus	UBERON:0009050	nucleus of solitary tract
TISMEDT_000211	brain_somatomor cortex	UBERON:0001384	primary motor cortex
TISMEDT_000212	brain_somatosensory cortex	UBERON:0008930	somatosensory cortex
TISMEDT_000213	brain_spinal cord	UBERON:0002240	spinal cord
TISMEDT_000214	brain_spinal trigeminal nucleus	UBERON:0002866	caudal part of spinal trigeminal nucleus
TISMEDT_000215	brain_spinal vestibular nucleus	UBERON:0002673	vestibular nuclear complex
TISMEDT_000216	brain_subcoeruleus area		
TISMEDT_000217	brain_subgenual area		
TISMEDT_000218	brain_substantia nigra	UBERON:0002038	substantia nigra
TISMEDT_000219	brain_subthalamic nucleus	UBERON:0001906	subthalamic nucleus
TISMEDT_000220	brain_superior colliculus	UBERON:0001945	superior colliculus
TISMEDT_000221	brain_superior olivary complex	UBERON:0002128	superior olivary complex
TISMEDT_000222	brain_superior vestibular nucleus	UBERON:0007227	superior vestibular nucleus
TISMEDT_000223	brain_suprachiasmatic nucleu	UBERON:0002034	suprachiasmatic nucleus
TISMEDT_000224	brain_supraoptic nucleus	UBERON:0001929	supraoptic nucleus
TISMEDT_000225	brain_temporal lobe	UBERON:0001871	temporal lobe
TISMEDT_000226	brain_temporal pole	UBERON:0002576	temporal pole
TISMEDT_000227	brain_temporal white matter		
TISMEDT_000228	brain_temporo insular cortex		
TISMEDT_000229	brain_temporo occipital transitional zone		
TISMEDT_000230	brain_thalamus	UBERON:0001897	dorsal plus ventral thalamus
TISMEDT_000231	brain_trigeminal caudal nucleus	UBERON:0002866	caudal part of spinal trigeminal nucleus
TISMEDT_000232	brain_trigeminal motor nucleus	UBERON:0002633	motor nucleus of trigeminal nerve
TISMEDT_000233	brain_ventral medullary reticular nucleus	UBERON:0002559	medullary reticular formation
TISMEDT_000234	brain_ventral periolivary nuclei	UBERON:0002128	superior olivary complex
TISMEDT_000235	brain_ventral tegmental area	UBERON:0002691	ventral tegmental area
TISMEDT_000236	brain_ventral thalamic nuclei		
TISMEDT_000237	brain_ventrolateral medulla		
TISMEDT_000238	brain_ventrolateral prefrontal cortex		
TISMEDT_000239	brain_ventrolateral tegmental area		
TISMEDT_000240	brain_ventromedial nucleus	UBERON:0001935	ventromedial nucleus of hypothalamus
TISMEDT_000241	brain_vermis	UBERON:0004720	cerebellar vermis
TISMEDT_000242	brain_vestibular nuclei	UBERON:0002673	vestibular nuclear complex
TISMEDT_000243	brain_visual cortex	UBERON:0000411	visual cortex
TISMEDT_000244	brain_white matter	UBERON:0002316	white matter
TISMEDT_000245	brain_zona incerta	UBERON:0001907	zona incerta
TISMEDT_000246	ganglia	UBERON:0000045	ganglion
TISMEDT_000247	ganglia_parasympathetic ganglia	UBERON:0001808	parasympathetic ganglion
TISMEDT_000248	ganglia_spinal ganglia	UBERON:0000044	dorsal root ganglion
TISMEDT_000249	ganglia_superior cervical ganglion	UBERON:0001989	superior cervical ganglion
TISMEDT_000250	ganglia_trigeminal ganglion	UBERON:0001675	trigeminal ganglion
TISMEDT_000251	neuroglia		
TISMEDT_000252	neurons		
TISMEDT_000253	spinal nerves	UBERON:0001780	spinal nerve
TISMEDT_000254	spinal nerves_sciatic nerve	UBERON:0001322	sciatic nerve
TISMEDT_000255	spinal nerves_tibial nerve	UBERON:0001323	tibial nerve
TISMEDT_000256	Other Systems		
TISMEDT_000257	adipose tissue	UBERON:0001013	adipose tissue
TISMEDT_000258	adipose tissue_abdominal	UBERON:0000916	abdomen
TISMEDT_000259	adipose tissue_omental fat pad	UBERON:0010414	omental fat pad
TISMEDT_000260	adipose tissue_subcutaneous	UBERON:0002190	subcutaneous adipose tissue
TISMEDT_000261	adipose tissue_visceral	UBERON:0014454	visceral abdominal adipose tissue
TISMEDT_000262	breast	UBERON:0000310	breast
TISMEDT_000263	breast_mammary gland	UBERON:0001911	mammary gland
TISMEDT_000264	placenta	UBERON:0001987	placenta
TISMEDT_000265	retina	UBERON:0000966	retina
TISMEDT_000266	saliva	UBERON:0001836	saliva
TISMEDT_000267	Respiratory System	UBERON:0001004	respiratory system
TISMEDT_000268	lung	UBERON:0002048	lung
TISMEDT_000269	lung_upper lobe of left lung	UBERON:0008952	upper lobe of left lung
TISMEDT_000270	nasopharynx	UBERON:0001728	nasopharynx
TISMEDT_000271	nose	UBERON:0000004	nose
TISMEDT_000272	nose_nasal mucosa	UBERON:0001826	nasal cavity mucosa
TISMEDT_000273	trachea	UBERON:0003126	trachea
TISMEDT_000274	Stomatognathic System		
TISMEDT_000275	Urogenital System	UBERON:0004122	genitourinary system
TISMEDT_000276	cervix uteri	UBERON:0000002	uterine cervix
TISMEDT_000277	cervix uteri_ectocervix	UBERON:0012249	ectocervix
TISMEDT_000278	cervix uteri_endocervix	UBERON:0000458	endocervix
TISMEDT_000279	endometrium	UBERON:0001295	endometrium
TISMEDT_000280	epididymis	UBERON:0001301	epididymis
TISMEDT_000281	fallopian tube	UBERON:0003889	fallopian tube
TISMEDT_000282	kidney	UBERON:0002113	kidney
TISMEDT_000283	kidney_cortex	UBERON:0001851	cortex
TISMEDT_000284	kidney_medulla	UBERON:0000362	renal medulla
TISMEDT_000285	prostate	UBERON:0002367	prostate gland
TISMEDT_000286	spermatozoa		
TISMEDT_000287	testis_seminiferous tubule	UBERON:0001343	seminiferous tubule of testis
TISMEDT_000288	urinary bladder	UBERON:0001255	urinary bladder
TISMEDT_000289	uterus	UBERON:0000995	uterus
TISMEDT_000290	vagina	UBERON:0000996	vagina
